OrderID,ProductID
5136036,1
5135580,32
5135455,38
5134281,14
5133097,14
5132945,14
5132736,15
5132142,14
5131488,6
5131298,36
5130186,37
5127316,3
5127275,43
5126595,28
5126415,42
5125958,31
5125720,17
5124591,4
5124333,15
5123495,14
5122621,32
5121847,39
5120859,28
5119690,22
5119369,12
5119208,13
5119087,13
5117559,12
5116572,14
5114413,16
5113914,8
5112593,17
5111012,44
5110728,38
5109036,44
5108668,38
5107770,16
5106057,14
5104164,29
5103736,20
5102030,3
5099274,15
5098728,35
5098512,14
5098402,1
5097294,33
5095512,9
5093802,40
5093663,12
5091698,9
5091564,31
5090983,14
5090753,14
5090249,6
5087363,16
5084722,37
5084201,31
5083980,4
5082731,5
5081129,39
5081010,14
5081053,14
5080628,7
5079828,21
5078318,8
5077049,39
5076281,15
5075746,28
5075070,1
5074185,14
5073594,15
5073406,8
5072829,17
5072398,14
5071926,14
5070803,33
5070003,8
5069574,34
5069306,24
5067744,28
5066631,43
5066395,14
5066027,39
5065309,15
5063929,24
5063317,23
5063283,20
5063233,27
5062309,14
5062094,39
5060087,14
5057721,33
5057013,16
5056659,9
5054049,10
5053986,34
5053821,1
5052824,20
5051360,9
5050648,35
5049422,14
5049335,14
5049126,14
5048689,15
5048611,17
5048386,16
5047593,1
5046900,29
5045064,34
5044916,33
5044533,8
5044459,23
5043797,7
5043763,37
5042208,24
5041438,23
5041026,32
5040688,19
5039894,6
5038524,23
5036617,15
5036303,17
5036179,25
5036173,14
5033925,8
5033057,15
5030200,28
5030210,34
5028780,14
5028624,35
5028072,33
5023847,14
5023829,30
5136036,1
5135580,32
5135455,38
5134281,14
5133097,14
5132945,14
5132736,15
5132142,14
5131488,6
5131298,36
5130186,37
5127316,3
5127275,43
5126595,28
5126415,42
5125958,31
5125720,17
5124591,4
5124333,15
5123495,14
5122621,32
5121847,39
5120859,28
5119690,22
5119369,12
5119208,13
5119087,13
5117559,12
5116572,14
5136021,20
5135388,9
5134456,14
5133357,24
5133156,14
5132922,30
5130687,18
5127824,15
5127436,16
5127383,10
5126915,28
5126487,21
5125690,40
5125371,14
5124914,25
5124399,16
5124221,8
5123830,14
5123631,20
5123355,13
5123278,21
5122827,26
5122343,24
5121829,8
5121150,3
5120875,14
5120153,11
5117796,33
5117536,15
5116282,21
5116041,12
5115937,14
5115332,11
5115039,19
5114258,1
5114047,21
5113628,32
5113105,35
5111182,44
5110285,9
5108907,41
5106101,26
5105842,38
5104785,43
5103670,34
5101761,15
5101580,15
5101040,4
5099854,20
5099261,18
5096681,15
5096372,40
5095902,18
5095419,33
5094728,14
5092250,17
5091942,23
5091831,22
5091747,20
5091272,29
5089196,15
5087840,10
5087204,40
5085190,24
5083603,15
5081085,12
5077772,15
5077487,15
5075393,24
5075332,3
5073910,34
5073266,14
5072417,14
5071737,14
5071363,31
5066917,29
5066885,22
5066628,13
5065272,14
5065279,19
5064135,23
5063962,43
5063306,44
5062903,14
5060130,38
5059685,7
5058336,17
5057842,44
5057771,16
5056930,22
5056839,40
5055507,14
5055427,16
5054950,14
5054543,13
5050418,24
5049676,10
5048997,14
5048555,2
5048214,21
5048202,27
5047942,2
5047410,6
5047037,28
5045881,30
5045355,12
5044576,15
5042761,5
5042513,14
5041931,29
5041764,25
5039390,31
5038409,10
5036970,30
5035308,41
5033884,34
5033729,6
5033195,32
5032483,36
5032401,14
5029693,15
5029381,38
5028934,5
5028691,13
5028141,14
5027091,28
5026789,14
5026266,26
5024190,15
5023952,24
5136021,20
5135388,9
5134456,14
5133357,24
5133156,14
5132922,30
5130687,18
5127824,15
5127436,16
5127383,10
5126915,28
5126487,21
5125690,40
5125371,14
5124914,25
5124399,16
5124221,8
5123830,14
5123631,20
5123355,13
5123278,21
5122827,26
5122343,24
5121829,8
5121150,3
5120875,14
5120153,11
5117796,33
5117536,15
5116282,21
5116041,12
5136290,42
5134712,1
5133183,21
5132645,7
5130642,15
5130486,36
5130473,14
5128089,28
5127939,40
5127923,32
5127673,15
5127011,14
5126233,25
5126051,14
5124906,6
5123021,42
5122924,7
5122156,34
5122000,37
5121202,31
5119615,20
5118284,29
5117459,40
5117204,35
5116895,8
5115727,29
5115401,33
5114962,39
5114593,1
5113774,15
5111517,10
5110958,18
5110013,17
5107274,28
5105583,2
5104309,38
5103894,14
5103450,44
5103241,14
5100855,23
5097516,15
5096109,40
5095952,13
5095325,14
5095162,12
5094807,34
5091683,12
5091040,14
5089989,7
5087212,9
5086576,9
5085493,14
5085353,15
5084888,34
5084538,41
5083179,14
5082347,13
5081947,30
5079204,22
5078467,8
5077814,31
5077706,19
5075058,32
5075048,18
5074484,39
5074473,16
5073980,14
5073147,23
5072958,28
5072220,14
5072033,17
5071589,15
5069675,15
5068752,7
5068324,28
5067941,3
5065631,15
5065538,21
5064503,15
5064298,1
5063176,14
5062086,3
5061847,42
5061778,34
5060983,39
5059943,1
5059421,43
5058943,12
5057114,38
5056157,25
5055458,35
5054498,14
5054299,23
5053787,14
5051752,37
5051514,12
5051454,39
5050145,14
5048090,9
5047925,42
5047639,36
5047510,29
5047428,15
5046549,34
5045182,14
5045088,14
5044647,15
5043905,30
5039920,34
5037158,34
5036261,43
5035962,29
5035262,14
5033320,15
5032529,14
5031921,36
5030452,17
5030422,21
5029843,15
5028353,3
5026608,20
5026022,14
5024772,14
5136290,42
5134712,1
5133183,21
5132645,7
5130642,15
5130486,36
5130473,14
5128089,28
5127939,40
5127923,32
5127673,15
5127011,14
5126233,25
5126051,14
5124906,6
5123021,42
5122924,7
5122156,34
5122000,37
5121202,31
5119615,20
5118284,29
5117459,40
5117204,35
5116895,8
5135662,1
5135482,16
5134596,15
5133765,30
5133380,14
5132468,18
5131923,10
5130265,21
5130185,40
5127802,30
5127398,15
5127088,15
5126712,41
5126542,28
5125531,15
5125298,7
5124637,1
5123895,15
5123672,42
5123409,15
5122213,16
5120231,13
5119755,43
5119663,25
5117883,15
5116310,11
5116275,16
5116220,7
5112528,26
5111017,23
5108074,21
5108091,2
5107219,9
5105592,14
5103686,36
5103176,14
5103090,43
5102734,5
5102194,37
5101907,39
5101642,28
5101077,25
5100532,15
5099862,42
5099538,20
5098579,23
5096519,16
5095478,14
5095401,41
5093677,40
5092292,14
5091784,14
5091668,24
5089788,3
5089708,15
5089657,11
5088887,13
5086861,8
5082706,31
5081561,33
5080618,37
5079957,7
5079600,2
5078490,30
5078124,14
5076606,15
5075966,28
5075841,2
5075642,39
5073830,30
5071938,27
5071169,6
5070761,27
5069649,26
5069540,2
5068120,39
5067121,10
5066796,13
5066094,7
5064746,23
5064632,3
5062498,16
5062095,26
5059614,15
5056721,17
5056569,3
5056025,44
5055191,14
5055069,14
5054348,13
5054227,33
5050019,24
5049533,12
5047160,10
5046417,27
5043197,18
5042820,15
5042130,23
5039925,14
5039916,12
5037908,21
5037364,4
5037323,33
5037157,14
5035832,14
5035556,8
5032994,33
5032638,14
5032193,1
5031488,44
5030863,14
5029848,3
5029565,14
5029272,41
5028417,29
5028238,21
5027829,18
5026933,24
5025298,3
5023802,14
5135662,1
5135482,16
5134596,15
5133765,30
5133380,14
5132468,18
5131923,10
5130265,21
5130185,40
5127802,30
5127398,15
5127088,15
5126712,41
5126542,28
5125531,15
5125298,7
5124637,1
5123895,15
5123672,42
5123409,15
5122213,16
5120231,13
5119755,43
5119663,25
5117883,15
5116310,11
5116275,16
5116220,7
5136173,34
5132385,15
5131906,12
5131368,14
5130823,44
5130595,15
5128638,17
5127412,14
5125741,28
5125533,22
5125004,25
5124240,12
5123891,22
5123551,1
5123084,15
5121446,34
5121369,14
5119934,15
5118492,14
5118086,31
5116601,14
5116558,20
5113135,26
5112048,14
5110889,14
5110758,40
5110708,15
5110463,23
5110028,44
5109151,34
5108268,14
5108117,14
5108132,31
5107470,14
5105418,18
5103985,23
5103216,14
5101751,12
5100550,15
5097570,43
5096096,33
5095899,15
5093977,40
5093310,14
5092778,44
5091932,6
5089400,14
5087903,2
5087920,13
5086622,14
5086424,12
5086211,14
5085317,37
5084125,27
5082956,15
5082339,3
5082286,3
5081070,44
5080975,8
5079191,27
5078676,2
5078157,14
5077836,1
5076686,15
5075882,14
5075879,14
5075252,14
5075200,14
5074963,3
5074698,14
5073804,27
5073471,43
5071134,38
5070048,19
5069447,43
5068714,14
5068614,25
5068407,7
5066723,19
5065866,36
5064910,14
5063909,12
5063624,28
5062345,1
5061059,36
5059724,39
5059456,22
5058760,13
5058618,39
5056172,19
5055387,18
5053867,20
5052842,4
5051737,26
5051700,28
5051414,40
5048468,23
5047527,5
5047349,7
5047156,39
5046724,2
5046087,1
5044682,14
5036872,20
5036241,40
5033970,27
5033241,8
5033238,14
5031568,41
5031197,29
5031166,13
5030860,8
5030568,14
5030185,38
5030149,18
5029609,14
5028409,35
5026980,14
5026797,1
5026500,15
5024879,5
5024463,13
5136173,34
5132385,15
5131906,12
5131368,14
5130823,44
5130595,15
5128638,17
5127412,14
5125741,28
5125533,22
5125004,25
5124240,12
5123891,22
5123551,1
5123084,15
5121446,34
5121369,14
5119934,15
5118492,14
5118086,31
5116601,14
5116558,20
5135813,36
5135615,15
5135508,36
5133549,30
5132904,15
5131941,10
5131144,25
5128304,13
5127783,16
5127686,15
5127510,15
5127274,15
5125744,15
5124453,25
5124412,30
5121917,31
5121299,9
5119692,14
5119162,14
5118247,31
5116779,10
5116626,33
5116046,15
5115005,6
5113849,16
5113466,35
5111799,24
5110311,2
5109167,41
5108624,27
5105554,14
5105041,4
5103754,21
5103523,3
5102873,20
5101460,38
5101100,42
5099573,14
5099331,15
5099139,43
5098408,20
5097918,15
5095034,14
5094470,6
5093904,26
5093892,17
5092848,27
5092288,14
5090530,14
5090067,14
5089594,18
5087670,40
5085233,33
5084623,2
5083623,14
5082209,20
5081219,20
5081222,38
5080816,10
5080400,27
5078961,16
5078523,37
5076328,9
5076046,14
5075959,27
5074517,35
5073549,9
5073370,16
5073312,27
5072559,2
5072054,18
5069513,25
5068023,36
5067738,2
5066352,10
5066189,15
5065630,34
5064859,28
5064232,40
5062973,8
5062677,15
5062199,14
5060910,7
5059352,7
5058652,28
5058107,39
5056670,12
5054679,17
5053479,14
5052716,40
5051264,41
5050340,40
5049905,16
5049869,28
5049876,41
5045553,34
5045394,3
5045106,34
5043275,9
5043243,19
5042262,43
5041908,38
5037943,14
5037891,41
5032601,37
5031698,3
5031036,9
5030818,14
5030208,14
5030027,28
5029854,32
5029385,41
5028896,14
5027672,14
5027179,15
5026595,44
5026120,44
5024999,33
5024750,44
5024394,4
5135813,36
5135615,15
5135508,36
5133549,30
5132904,15
5131941,10
5131144,25
5128304,13
5127783,16
5127686,15
5127510,15
5127274,15
5125744,15
5124453,25
5124412,30
5121917,31
5121299,9
5119692,14
5119162,14
5118247,31
5116779,10
5116626,33
5116046,15
5136487,6
5136392,14
5135333,4
5135212,20
5135153,23
5135047,38
5134568,14
5133756,5
5133509,44
5132614,14
5132180,19
5131717,24
5131627,5
5131157,19
5130852,38
5128431,7
5126353,27
5126085,35
5125915,32
5125369,18
5123022,19
5122199,37
5121093,38
5119219,16
5119093,44
5118032,5
5117783,2
5117050,3
5116442,39
5115735,4
5115246,16
5114607,19
5111834,29
5111619,11
5111524,15
5110845,11
5108783,7
5108248,17
5107635,33
5106509,14
5102783,21
5101538,35
5101416,41
5101031,39
5099066,32
5098149,26
5096866,4
5095954,9
5095468,15
5094672,15
5094030,35
5093687,15
5092636,23
5090203,4
5088407,14
5084038,15
5082874,18
5082809,26
5080997,15
5079622,37
5079396,38
5078616,5
5076729,15
5075696,42
5074837,41
5072150,37
5072061,14
5070358,38
5069889,8
5068791,14
5068727,40
5060174,6
5058005,2
5056498,14
5055976,37
5054428,38
5050258,8
5050139,3
5049956,2
5049817,44
5049584,7
5049347,1
5049210,22
5048846,15
5046004,33
5044147,42
5043873,23
5040046,20
5039103,14
5038319,34
5038238,3
5036824,21
5036384,29
5035949,43
5034943,14
5034554,2
5031978,28
5031826,22
5030980,37
5030933,14
5029505,13
5028487,1
5028282,41
5028184,17
5027657,4
5027448,30
5026150,34
5024878,13
5024656,42
5024623,10
5024262,44
5023646,15
5136487,6
5136392,14
